"Scenario ID","Area","Onboarding Entry","User Goal","Priority","Given","When","Expected Business Result","Critical Checks","Negative or Recovery Branch","Test Mode","Existing or Target Test","Coverage Status","Status"
"AI-SCENE-001","AI Agent","Getting Started/Welcome to Kition.md","Summarize the active onboarding document and add a first-session checklist","P0","Welcome to Kition.md is the active document and contains the seeded onboarding guide","The user asks: Summarize this page in five bullets and add a checklist for my first Kition session","The Agent returns a five-bullet summary and appends one readable checklist to the active Markdown document","The request is bound to Welcome to Kition.md; the Agent reads the active file; exactly one document write targets the same path; the saved document remains valid Markdown; no table or unrelated file changes","If the prompt asks only for a summary, no document write is allowed; if writing fails, the original document stays intact and the failure is visible","Controlled Agent E2E","Extend e2e/table-agent-document-flow.spec.ts","Partial","Planned"
"AI-SCENE-002","AI Agent","Any template-created table, especially Receipt OCR Database.kitable","Review table quality and propose a cleanup workflow without running it","P0","Receipt OCR Database is active and contains incomplete extracted fields and records awaiting review","The user asks: Review the active table, identify missing values, and propose a cleanup workflow without running it","The Agent explains data-quality findings and proposes trigger, conditions, and actions, but does not create, enable, test, or execute a workflow","The active document and table IDs are passed correctly; the proposal references real field names; no workflow create, patch, enable, node-test, record-write, or document-write tool completes","If the Agent attempts an execution tool, the scenario fails; provider failure leaves the table and workflow list unchanged","Controlled Agent and tool-policy E2E","Add e2e/onboarding-agent-workflow-proposal.spec.ts","Gap","Planned"
"AI-SCENE-003","AI Agent + Browser","Getting Started/Guides/Web Research/info.md","Open a requested website and complete the remaining research, capture, download, summary, or structured-output task in one visible user turn","P0","The desktop browser capability is available; a controlled website fixture exposes known page context; the prompt identifies a website and an action to perform after opening it; when the target requires a proxy, a tested proxy is saved in Network settings","The user asks the Agent to open a website and then perform a clearly specified task on the loaded page","The Agent automatically opens the requested domain through the configured network path, waits for usable page context, resumes the original request without a second user instruction, and produces only the result or side effect specified by that request","The initial turn enables browser access automatically and carries client-extracted page context; every persistent embedded-browser partition receives the same saved proxy as the default Electron session; the task continues after browser.open_required only when work remains; the original request stays the source of truth; a browser-only request stops after opening; completion is reported only after any requested durable change is verified","If proxy connectivity, browser capability, login, required page context, or the requested action is unavailable, the Agent reports a blocked or failed state instead of fabricating data, creating an unrelated artifact, or claiming completion","Playwright Electron with controlled website context plus Agent and proxy unit tests","e2e/table-agent-browser-flow.spec.ts verifies first-turn page context without runtime browser tools; electron/proxy-manager.spec.ts and electron/generic-browser-session.spec.ts verify proxy propagation to embedded partitions","Covered: generic domain detection, browser preflight, shared proxy propagation, first-turn page context, one visible user turn, durable-output verification, and browser-only guard","Automated"
"AI-SCENE-004","AI Field","Getting Started/Essentials/Reading Tracker.kitable","Generate a concise summary for one reading-list row on demand","P0","The selected row contains Title and URL and the AI Summary field has auto_update=false with the seeded 2-3 sentence prompt","The user explicitly runs AI Summary for one cell","Only that cell receives a non-empty 2-3 sentence summary based on the selected row; source fields and other rows remain unchanged","One model request; correct row and field; no automatic generation before the click; result persists after reload; rerun replaces the target cell once rather than appending duplicate text","On provider timeout or cancellation, the previous cell value and all source fields remain unchanged and the cell is retryable","Mocked AI-field E2E","Add e2e/onboarding-reading-ai-summary.spec.ts","Gap","Planned"
"AI-SCENE-005","AI Scenario","Getting Started/Guides/Receipt Extraction/Receipt Archive.kitable","Turn uploaded receipt files into structured reviewable data","P0","The user attaches a known receipt image or PDF and uses the onboarding extraction prompt","The user starts the receipt-processing scenario","The generated table contains source filename, vendor, address, category, transaction date, total, and tax fields with one traceable row per receipt","The attachment is included once; progress reaches completion; extracted values map to the correct receipt; source files remain available; the completed table can be reopened after reload","A malformed receipt becomes a reviewable failed or incomplete row without blocking valid receipts; cancellation creates no hidden partial final table","Scenario E2E with deterministic model fixture","Extend e2e/scenario.spec.ts with result-data assertions","Partial","Planned"
"AI-SCENE-006","AI Field","Getting Started/Guides/Product Content/Product Content Studio.kitable","Generate channel copy and a product image from one concept row","P0","A product row contains Concept and Concept description; seeded AI fields have auto_update=false","The user explicitly runs one text field and one image field for the selected row","LinkedIn copy follows the configured length and tone; the image field stores the configured number of valid attachments generated from the same concept description","Only requested cells run; text and image use appropriate model capabilities; attachments render after reload; other concept rows remain untouched; generated output is associated with the correct source row","Failure or cancellation preserves prior generated values and source fields; retry replaces or updates the requested cell without duplicating attachments","Mocked text and image AI-field E2E","Extend e2e/ai-image-field.spec.ts and add onboarding text-field coverage","Partial","Planned"
"WF-SCENE-001","Workflow","Getting Started/Simple Client CRM.kitable","Normalize email domains and phone numbers deterministically","P0","A client record has a mixed-case email address and a formatted phone number","The user opens Workflows, selects the client as the sample row, and runs the contact cleanup action","Email Domain becomes lowercase and Normalized Phone contains digits only on the same record","Name, Email, and Phone stay unchanged; no new record is created; the run result identifies the selected record; repeating the deterministic transform produces the same values","A row with a missing email or phone reports a clear skipped or validation result and does not erase an existing normalized value","Black-box workflow E2E","e2e/workflow-onboarding-actions-real.spec.ts","Covered; add negative branch","Planned"
"WF-SCENE-002","Workflow","Getting Started/Workflow Examples/Expense Review.kitable","Flag only high-value expenses for review","P0","Conference tickets has Amount 2400 and Status Draft; Team lunch has Amount 280; Cloud subscription has Amount 899","The user runs the workflow against each representative row","The 2400 expense becomes Needs review with Review Note: Automatically flagged because the amount is above 1000; the 280 and 899 expenses remain Draft","The filter uses Amount > 1000; only the triggering record is updated; no duplicate record is created; unrelated fields and rows remain unchanged","A missing or non-numeric Amount is rejected or skipped visibly and must not be treated as high value","Black-box workflow E2E","e2e/workflow-onboarding-actions-real.spec.ts","Covered positive path; add below-threshold and invalid-value branches","Planned"
"WF-SCENE-003","Workflow","Getting Started/Workflow Examples/Order Fulfillment.kitable","Look up an SKU and write catalog data back to the order","P0","Order #1001 uses SKU KB-101 and Product Catalog contains Kition Keyboard with Unit Price 129 and Category Hardware","The user runs the lookup workflow for Order #1001","The same order receives Product Name Kition Keyboard, Unit Price 129, and Category Hardware","Match uses SKU; values come from the matching catalog record; the catalog remains unchanged; no new order is created; only configured write-back fields change","An unknown or blank SKU produces a clear no-match or skipped result and does not copy data from another catalog row or erase existing order values","Black-box workflow E2E","e2e/workflow-onboarding-actions-real.spec.ts","Covered positive path; add no-match branch","Planned"
"WF-SCENE-004","Workflow","Getting Started/Workflow Examples/Content Pipeline.kitable","Copy a complete content idea into the publishing queue","P0","Content Ideas contains Product launch announcement with Channel Blog, Priority High, and Status Drafting","The onboarding workflow runs for that source record","Publishing Queue receives exactly one row with Title Product launch announcement, Channel Blog, Priority High, Source Status Drafting, and Automation Note Added automatically by workflow","Source row stays unchanged; target field bindings are complete; one workflow execution creates one target row; the workflow is bound to Content Ideas and Publishing Queue","A failed target write creates no partial queue row; a source row missing a required field is blocked or reported instead of creating misleading content","Black-box workflow E2E","Extend e2e/kitable-workflow-create-mode.spec.ts with persisted target-row assertions","Partial","Planned"
